2Theta (degrees),Raw Intensity,Polynomial Baseline,Corrected Net Intensity
29.5401,751890.3438,747020.3411925174,4870.002607482602
29.5601,749297.7188,746965.9988196306,2331.7199803694384
29.5801,749071.7501,746903.1143124215,2168.635787578416
29.6001,751887.0313,746831.7256719023,5055.305628097733
29.6201,751241.7188,746751.8708991408,4489.847900859197
29.6401,751003.0313,746663.5879951231,4339.443304876913
29.6601,751197.2813,746566.914960932,4630.366339068045
29.6801,752705.1563,746461.8897975646,6243.2665024354355
29.7001,749865.3438,746348.5505060777,3516.7932939223247
29.7201,749966.5938,746226.9350874834,3739.658712516655
29.7401,748753.5626,746097.0815428458,2656.481057154131
29.7601,748708.4688,745959.0278731659,2749.440926834126
29.7801,748941.5313,745812.8120795116,3128.7192204884486
29.8001,750625.0626,745658.4721628837,4966.590437116218
29.8201,748862.2188,745496.0461243503,3366.172675649752
29.8401,748443.9063,745325.5719649084,3118.3343350916402
29.8601,746891.9688,745147.0876856297,1744.881114370306
29.8801,748814.4688,744960.6312875114,3853.8375124885933
29.9001,746502.9063,744766.2407716215,1736.6655283785658
29.9201,746331.4375,744563.9541389644,1767.4833610355854
29.9401,746716.9688,744353.809390597,2363.159409402986
29.9601,747374.4375,744135.8445275426,3238.592972457409
29.9801,747202.3125,743910.097550828,3292.21494917199
30.0001,748013.3125,743676.6064615101,4336.706038489938
30.0201,746604.6563,743435.4092605971,3169.2470394029515
30.0401,744879.0313,743186.5439491421,1692.487350857933
30.0601,746265.5313,742930.0485281646,3335.4827718354063
30.0801,744800.0313,742665.960998714,2134.0703012860613
30.1001,745126.3125,742394.3193618134,2731.9931381866336
30.1201,744674.0625,742115.1616185047,2558.9008814953268
30.1401,747083.4688,741828.5257698,5254.943030200084
30.1601,745038.5313,741534.4498167634,3504.0814832366304
30.1801,745285.0,741232.9717604145,4052.0282395854592
30.2001,745162.6251,740924.129601784,4238.495498215896
30.2201,745622.9376,740607.9613419212,5014.976258078706
30.2401,743019.0938,740284.5049818419,2734.5888181581395
30.2601,744224.1563,739953.7985225841,4270.357777415891
30.2801,743603.9376,739615.8799651973,3988.0576348026516
30.3001,744252.5938,739270.787310686,4981.806489314069
30.3201,742289.25,738918.5585601255,3370.6914398744702
30.3401,743391.4063,738559.231714502,4832.1745854980545
30.3601,741683.0938,738192.8447748907,3490.2490251093404
30.3801,742552.5938,737819.4357422963,4733.158057703753
30.4001,740955.0,737439.0426177755,3515.9573822245
30.4201,740324.6251,737051.7034023516,3272.9216976483585
30.4401,737700.3438,736657.456097059,1042.8877029410796
30.4601,737995.1563,736256.3387029208,1738.8175970792072
30.4801,736593.3751,735848.3892209902,744.985879009706
30.5001,733391.1563,735433.6456522979,-2042.4893522978527
30.5201,734058.5626,735012.145997867,-953.5833978670416
30.5401,733729.0626,734583.9282587394,-854.8656587394653
30.5601,732180.1563,734149.0304359496,-1968.8741359495325
30.5801,732270.4376,733707.4905305207,-1437.052930520731
30.6001,733525.7188,733259.3465434983,266.3722565016942
30.6201,730643.0001,732804.6364759207,-2161.6363759207306
30.6401,731340.7188,732343.3983288072,-1002.6795288071735
30.6601,730906.0625,731875.6701032035,-969.6076032035053
30.6801,731618.5938,731401.4898001403,217.10399985976983
30.7001,730050.7188,730920.8954206482,-870.1766206481261
30.7201,727874.625,730433.924965769,-2559.2999657690525
30.7401,729340.1563,729940.6164365336,-600.4601365335984
30.7601,726708.875,729441.0078339651,-2732.1328339651227
30.7801,727792.5938,728935.1371591166,-1142.5433591165347
30.8001,726804.0313,728423.0424129963,-1619.0111129962606
30.8201,726842.75,727904.7615966685,-1062.0115966685116
30.8401,725976.7188,727380.3327111416,-1403.613911141525
30.8601,727532.1876,726849.7937574759,682.393842524034
30.8801,724921.6875,726313.1827366725,-1391.495236672461
30.9001,724916.0313,725770.5376497991,-854.5063497991068
30.9201,723894.9063,725221.8964978606,-1326.9901978605194
30.9401,721586.0,724667.2972819172,-3081.2972819171846
30.9601,723595.1563,724106.7780029774,-511.62170297733974
30.9801,722970.5938,723540.3766621016,-569.7828621015651
31.0001,720621.5625,722968.1312602945,-2346.568760294467
31.0201,722405.2501,722390.0797986239,15.170301376027055
31.0401,720586.5938,721806.2602780871,-1219.6664780870778
31.0601,720589.2813,721216.710699752,-627.4293997519417
31.0801,720088.8125,720621.4690646343,-532.6565646342933
31.1001,719712.2813,720020.5733737648,-308.29207376472186
31.1201,719190.4375,719414.0616281927,-223.6241281926632
31.1401,717057.3751,718801.9718289301,-1744.5967289301334
31.1601,716944.0001,718184.3419770338,-1240.3418770338176
31.1801,718715.1251,717561.2100735232,1153.9150264767231
31.2001,715206.0313,716932.6141194478,-1726.5828194477363
31.2201,716933.9376,716298.5921158195,635.3454841804923
31.2401,714727.1875,715659.1820636839,-931.9945636838675
31.2601,714428.2813,715014.4219640829,-586.1406640828354
31.2801,712516.0313,714364.349818036,-1848.3185180359287
31.3001,713473.2188,713709.0036265925,-235.78482659242582
31.3201,713195.3751,713048.4213907681,146.953709231806
31.3401,714084.4376,712382.6411116123,1701.7964883876266
31.3601,711577.7813,711711.700790152,-133.91949015192222
31.3801,710331.4688,711035.6384274252,-704.1696274251444
31.4001,708967.4063,710354.4920244627,-1387.0857244626386
31.4201,709463.6876,709668.2995822914,-204.61198229144793
31.4401,709885.2813,708977.0991019681,908.1821980319219
31.4601,706992.1563,708280.9285844974,-1288.7722844973905
31.4801,708361.75,707579.8260309473,781.923969052732
31.5001,706342.1875,706873.8294423074,-531.641942307353
31.5201,705856.7813,706162.9768196605,-306.1955196604831
31.5401,707568.9063,705447.3061639927,2121.6001360072987
31.5601,707748.0313,704726.8554763794,3021.175823620637
31.5801,706805.9063,704001.6627578363,2804.243542163749
31.6001,706157.7501,703271.7660093904,2885.9840906095924
31.6201,703454.9688,702537.2032320946,917.765567905386
31.6401,704450.0938,701798.0124269649,2652.081373035093
31.6601,702081.3438,701054.2315950394,1027.1122049606638
31.6801,700357.9688,700305.8987373635,52.070062636514194
31.7001,700736.1251,699553.0518549569,1183.0732450430514
31.7201,700226.6563,698795.7289488651,1430.9273511349456
31.7401,696916.5313,698033.9680201113,-1117.436720111291
31.7601,697834.7188,697267.8070697375,566.9117302625673
31.7801,698428.9376,696497.2840987854,1931.653501214576
31.8001,697013.7813,695722.4371082634,1291.344191736658
31.8201,695705.2501,694943.304099232,761.9460007679882
31.8401,695434.0938,694159.9230727106,1274.1707272893982
31.8601,694686.5001,693372.3320297375,1314.1680702624144
31.8801,693760.5313,692580.5689713433,1179.962328656693
31.9001,693126.6563,691784.6718985625,1341.9844014375703
31.9201,692139.8751,690984.6788124368,1155.196287563187
31.9401,692850.5,690180.6277140044,2669.8722859956324
31.9601,690601.25,689372.5566042699,1228.693395730108
31.9801,688960.6563,688560.5034843124,400.15281568758655
32.0001,689863.75,687744.5063551106,2119.243644889444
32.0201,688878.0625,686924.6032177582,1953.4592822417617
32.0401,688564.0625,686100.8320732377,2463.230426762253
32.0601,687147.5625,685273.2309226245,1874.3315773755312
32.0801,686859.0313,684441.8377669081,2417.1935330919223
32.1001,684231.0313,683606.6906071715,624.3406928285258
32.1201,682640.9688,682767.8274444155,-126.85864441550802
32.1401,683890.3438,681925.2862796821,1965.0575203179615
32.1601,680510.0313,681079.105114013,-569.0738140129251
32.1801,681056.5001,680229.3219484352,827.178151564789
32.2001,679169.3438,679375.9747839831,-206.6309839830501
32.2201,679081.8438,678519.1016216949,562.7421783051686
32.2401,678298.5313,677658.7404625863,639.7908374137478
32.2601,678428.0001,676794.9293077253,1633.070792274666
32.2801,676248.2813,675927.7061581127,320.5751418872969
32.3001,676683.8125,675057.1090148091,1626.7034851908684
32.3201,677813.5313,674183.1758788228,3630.355421177228
32.3401,673076.2188,673305.9447512105,-229.72595121047925
32.3601,673900.7188,672425.4536329955,1475.2651670045452
32.3801,672010.6251,671541.7405252159,468.88457478408236
32.4001,669175.8126,670654.8434288986,-1479.0308288986562
32.4201,670102.2188,669764.8003450781,337.4184549219208
32.4401,669756.0626,668871.6492747962,884.4133252036991
32.4601,666042.625,667975.4282190837,-1932.8032190836966
32.4801,668224.2188,667076.1751789749,1148.0436210251646
32.5001,665728.5,666173.9281555042,-445.4281555041671
32.5201,663888.4063,665268.7251497023,-1380.3188497022493
32.5401,663203.5938,664360.6041626073,-1157.0103626073105
32.5601,661181.5938,663449.6031952538,-2268.009395253728
32.5801,661908.4063,662535.760248661,-627.3539486610098
32.6001,660918.6563,661619.1133238934,-700.4570238933666
32.6201,660925.9376,660699.7004219554,226.23717804451007
32.6401,659109.2813,659777.5595438965,-668.278243896435
32.6601,658274.1876,658852.7286907397,-578.5410907397745
32.6801,655795.4063,657925.245863542,-2129.8395635419292
32.7001,655544.8126,656995.1490633003,-1450.3364633003948
32.7201,653639.7501,656062.4762910865,-2422.726191086578
32.7401,652809.2813,655127.2655479088,-2317.984247908811
32.7601,651433.5938,654189.5548348166,-2755.9610348165734
32.7801,650640.4063,653249.3821528368,-2608.9758528367383
32.8001,651335.5625,652306.7855030075,-971.2230030074716
32.8201,649944.5313,651361.8028863482,-1417.2715863481862
32.8401,647859.1876,650414.4723039195,-2555.2847039195476
32.8601,648734.6563,649464.8317567259,-730.1754567258758
32.8801,646970.5626,648512.9192458242,-1542.3566458242713
32.9001,644098.7188,647558.7727722377,-3460.053972237627
32.9201,645041.5,646602.4303370081,-1560.9303370080888
32.9401,644524.9375,645643.929941155,-1118.9924411550164
32.9601,643448.3438,644683.3095857278,-1234.9657857277198
32.9801,640618.3751,643720.6072717533,-3102.232171753305
33.0001,641398.2813,642755.8610002659,-1357.5797002658946
33.0201,639705.0,641789.1087722965,-2084.1087722964585
33.0401,638847.5625,640820.3885888904,-1972.8260888904333
33.0601,636982.8126,639849.7384510748,-2866.9258510748623
33.0801,635641.2188,638877.1963598765,-3235.977559876512
33.1001,636800.3438,637902.8003163412,-1102.4565163411899
33.1201,635080.1563,636926.5883214921,-1846.4320214920444
33.1401,633355.0626,635948.5983763747,-2593.535776374745
33.1601,632531.4063,634968.868482016,-2437.4621820159955
33.1801,630905.2188,633987.4366394505,-3082.217839450459
33.2001,631189.2813,633004.3408497125,-1815.0595497124596
33.2201,628289.25,632019.6191138439,-3730.369113843888
33.2401,629287.1563,631033.3094328605,-1746.1531328604324
33.2601,627634.5626,630045.449807819,-2410.8872078190325
33.2801,626564.4688,629056.0782397278,-2491.609439727734
33.3001,625525.5626,628065.2327296473,-2539.670129647362
33.3201,624490.8438,627072.9512785934,-2582.1074785933597
33.3401,624577.1563,626079.2718876079,-1502.115587607841
33.3601,622812.7188,625084.2325577214,-2271.5137577214045
33.3801,621233.5626,624087.8712899722,-2854.3086899722693
33.4001,620582.0,623090.2260853834,-2508.226085383445
33.4201,619215.6563,622091.3349450082,-2875.678645008127
33.4401,618027.4376,621091.2358698584,-3063.7982698584674
33.4601,617233.7501,620089.9668609872,-2856.2167609872995
33.4801,617023.6563,619087.5659194179,-2063.9096194178564
33.5001,615558.6563,618084.0710461847,-2525.414746184717
33.5201,615793.1563,617079.5202423297,-1286.3639423296554
33.5401,614100.9063,616073.9515088759,-1973.0452088759048
33.5601,611601.0938,615067.4028468654,-3466.3090468653245
33.5801,612436.1563,614059.9122573286,-1623.755957328598
33.6001,609355.3438,613051.5177413002,-3696.173941300134
33.6201,609712.5,612042.2572998218,-2329.757299821824
33.6401,610188.5938,611032.1689339094,-843.5751339093549
33.6601,608752.9688,610021.2906446233,-1268.3218446233077
33.6801,606905.75,609009.6604329795,-2103.9104329794645
33.7001,605426.0938,607997.3162999973,-2571.2224999972386
33.7201,604108.5,606984.296246741,-2875.796246740967
33.7401,604433.9688,605970.6382742263,-1536.6694742263062
33.7601,604578.7188,604956.3803835027,-377.6615835026605
33.7801,602565.4688,603941.5605755895,-1376.0917755895061
33.8001,601095.4376,602926.216851525,-1830.7792515250621
33.8201,598838.9375,601910.3872123323,-3071.449712332338
33.8401,600524.5625,600894.1096590757,-369.547159075737
33.8601,596863.9688,599877.4221927524,-3013.45339275233
33.8801,596872.125,598860.3628144339,-1988.2378144338727
33.9001,597094.7188,597842.9695251137,-748.2507251136703
33.9201,595929.1251,596825.2803258672,-896.1552258672891
33.9401,596475.9376,595807.3332176842,668.604382315767
33.9601,592561.6251,594789.1662016548,-2227.541101654875
33.9801,592159.875,593770.817278754,-1610.942278753966
34.0001,591768.2813,592752.324450057,-984.0431500569684
34.0201,591138.0625,591733.7257165723,-595.6632165722549
34.0401,592410.8751,590715.0590793528,1695.8160206471803
34.0601,589183.0,589696.362539418,-513.3625394180417
34.0801,588604.4063,588677.6740978211,-73.26779782108497
34.1001,587992.375,587659.031755574,333.34324442595243
34.1201,587304.5313,586640.4735137261,664.0577862738864
34.1401,585564.7188,585622.0373733006,-57.318573300610296
34.1601,585115.3125,584603.7613353468,511.5511646531522
34.1801,586071.1563,583585.683400888,2485.4728991120355
34.2001,582448.7501,582567.841570951,-119.09147095109802
34.2201,581359.2501,581550.2738465816,-191.0237465816317
34.2401,581090.0938,580533.0182288028,557.0755711972015
34.2601,578669.5313,579516.1127186604,-846.5814186603529
34.2801,578186.75,578499.5953171924,-312.84531719237566
34.3001,578958.4063,577483.5040254146,1474.9022745854454
34.3201,577509.2813,576467.87684438,1041.4044556199806
34.3401,577615.7188,575452.7517750971,2162.9670249029296
34.3601,576445.2813,574438.1668186262,2007.1144813738065
34.3801,575447.7813,573424.1599759907,2023.6213240093784
34.4001,574055.5,572410.7692482322,1644.7307517677546
34.4201,571744.2188,571398.032636378,346.18616362207104
34.4401,569698.375,570385.9881414473,-687.6131414473057
34.4601,570610.6875,569374.6737645082,1236.0137354917824
34.4801,570036.7188,568364.1275065616,1672.5912934384542
34.5001,568417.1876,567354.3873686641,1062.800231335801
34.5201,567110.6563,566345.4913518317,765.1649481683271
34.5401,566428.0625,565337.4774571098,1090.5850428901613
34.5601,564759.6876,564330.3836855367,429.30391446326394
34.5801,564773.0001,563324.2480381392,1448.7520618607523
34.6001,564071.75,562319.1085159406,1752.6414840593934
34.6201,562292.6563,561315.0031200051,977.6531799949007
34.6401,560540.0625,560311.9698513299,228.09264867007732
34.6601,559779.5313,559310.0467109829,469.48458901711274
34.6801,559027.875,558309.2716999725,718.6033000275493
34.7001,557702.9063,557309.6828193516,393.22348064847756
34.7201,558082.75,556311.318070136,1771.4319298639894
34.7401,555668.2813,555314.2154533751,354.0658466249006
34.7601,553806.9688,554318.4129700921,-511.4441700921161
34.7801,554807.7813,553323.9486213364,1483.8326786636608
34.8001,554944.5313,552330.8604081199,2613.670891880174
34.8201,551859.9688,551339.1863314956,520.7824685043888
34.8401,551062.0938,550348.964392487,713.1294075130718
34.8601,550573.7813,549360.232592132,1213.548707868089
34.8801,550890.0625,548373.0289314613,2517.0335685387254
34.9001,551203.0938,547387.3914115168,3815.702388483216
34.9201,549475.5938,546403.3580333292,3072.235766670783
34.9401,548975.0313,545420.9667979181,3554.06450208195
34.9601,549716.2188,544440.2557063475,5275.963093652506
34.9801,547001.0001,543461.2627596185,3539.7373403814854
35.0001,545924.625,542484.0259587914,3440.599041208625
